id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
219,U-219,XB,08/06/40,5/31/1941,12/12/42,10/06/42,05/05/45,Given,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
220,U-220,XB,08/06/40,6/16/1941,3/27/1943,1/16/1943,10/28/1943,Sunk,0,48.53,-33.3,56,"F. Krupp Germaniawerft AG, Kiel",2
221,U-221,VIIC,8/15/1940,6/16/1941,05/09/42,3/14/1942,9/27/1943,Sunk,0,47,-18,50,"F. Krupp Germaniawerft AG, Kiel",11
222,U-222,VIIC,8/15/1940,6/16/1941,5/23/1942,3/28/1942,09/02/42,Sunk,3,54.25,19.3,42,"F. Krupp Germaniawerft AG, Kiel",0
223,U-223,VIIC,8/15/1940,7/15/1941,06/06/42,4/16/1942,3/30/1944,Sunk,27,38.48,14.1,23,"F. Krupp Germaniawerft AG, Kiel",2
224,U-224,VIIC,8/15/1940,7/15/1941,6/20/1942,05/07/42,1/13/1943,Sunk,0,36.28,0.49,45,"F. Krupp Germaniawerft AG, Kiel",2
225,U-225,VIIC,8/15/1940,09/03/41,07/11/42,5/28/1942,2/22/1943,Sunk,0,48.37,-30.35,46,"F. Krupp Germaniawerft AG, Kiel",1
226,U-226,VIIC,8/15/1940,08/01/41,08/01/42,6/18/1942,11/06/43,Sunk,0,44.49,-41.13,51,"F. Krupp Germaniawerft AG, Kiel",1
227,U-227,VIIC,12/07/40,10/18/1941,8/22/1942,07/09/42,4/30/1943,Sunk,0,64.05,-6.4,49,"F. Krupp Germaniawerft AG, Kiel",0
228,U-228,VIIC,12/07/40,10/18/1941,09/12/42,7/30/1942,10/04/44,Sunk,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
229,U-229,VIIC,12/07/40,11/03/41,10/03/42,8/20/1942,9/22/1943,Sunk,0,54.36,-36.25,50,"F. Krupp Germaniawerft AG, Kiel",2
230,U-230,VIIC,12/07/40,11/25/1941,10/24/1942,09/10/42,8/21/1944,Grounded,50,43.04,5.54,0,"F. Krupp Germaniawerft AG, Kiel",1
231,U-231,VIIC,12/07/40,1/30/1942,11/14/1942,10/01/42,1/13/1944,Sunk,43,44.15,-20.38,7,"F. Krupp Germaniawerft AG, Kiel",0
232,U-232,VIIC,12/07/40,1/17/1942,11/28/1942,10/15/1942,07/09/43,Sunk,0,39.48,-14.22,46,"F. Krupp Germaniawerft AG, Kiel",0
233,U-233,XB,12/07/40,8/15/1941,9/22/1943,05/08/43,07/05/44,Sunk,29,42.16,-59.49,32,"F. Krupp Germaniawerft AG, Kiel",0
234,U-234,XB,12/07/40,10/01/41,03/02/44,12/23/1943,5/19/1945,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
235,U-235,VIIC,1/20/1941,2/25/1942,12/19/1942,11/04/42,5/14/1943,Sunk,0,,,2,"F. Krupp Germaniawerft AG, Kiel",0
236,U-236,VIIC,1/20/1941,3/23/1942,01/09/43,11/24/1942,5/14/1943,Sunk,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
237,U-237,VIIC,1/20/1941,4/23/1942,1/30/1943,12/17/1942,5/14/1943,Sunk,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
238,U-238,VIIC,1/20/1941,4/21/1942,2/20/1943,01/07/43,02/09/44,Sunk,0,49.45,-16.07,50,"F. Krupp Germaniawerft AG, Kiel",4
239,U-239,VIIC,1/20/1941,5/14/1942,3/13/1943,1/28/1943,08/05/44,Decommissioned,0,,,1,"F. Krupp Germaniawerft AG, Kiel",0
240,U-240,VIIC,1/20/1941,5/14/1942,04/03/43,2/18/1943,5/15/1944,Missing,0,,,50,"F. Krupp Germaniawerft AG, Kiel",0
241,U-241,VIIC,04/10/41,09/04/42,7/24/1943,6/25/1943,5/18/1944,Sunk,0,63.36,1.42,51,"F. Krupp Germaniawerft AG, Kiel",0
242,U-242,VIIC,04/10/41,9/30/1942,8/14/1943,7/20/1943,04/05/45,Sunk,0,52.02,-5.46,44,"F. Krupp Germaniawerft AG, Kiel",2
